iter	Logloss
0	0.6687649536
1	0.648431876
2	0.6310995047
3	0.6168876866
4	0.6048875645
5	0.5946933419
6	0.5855974034
7	0.5777959769
8	0.5711152867
9	0.5651449149
10	0.5601782227
11	0.5559712437
12	0.5521541051
13	0.5487103271
14	0.5458962577
15	0.5432808576
16	0.5410619245
17	0.5391179984
18	0.537290475
19	0.5357114519
20	0.5342311314
21	0.5331018938
22	0.5321713693
23	0.531068682
24	0.530134103
25	0.5293958391
26	0.5286404419
27	0.5280647496
28	0.5274557931
29	0.5269620187
30	0.5264345442
31	0.5259892491
32	0.5256413923
33	0.5252602277
34	0.5248861258
35	0.5245831735
36	0.5243367222
37	0.5239869908
38	0.5237300328
39	0.5233069284
40	0.5230200631
41	0.5227827236
42	0.5223999023
43	0.5221710205
44	0.521950858
45	0.5217801775
46	0.5215979004
47	0.5214787074
48	0.5213024902
49	0.5210805838
50	0.5209363665
51	0.5207869176
52	0.520625
53	0.5204503523
54	0.520304391
55	0.520050572
56	0.5199286761
57	0.5197251238
58	0.519528765
59	0.5193902588
60	0.5192519706
61	0.5191273717
62	0.5189002773
63	0.5187976946
64	0.5185644531
65	0.5184494019
66	0.5181696865
67	0.5180200195
68	0.517897644
69	0.5178061349
70	0.5177028983
71	0.5176055036
72	0.5174996076
73	0.5172362409
74	0.5171577672
75	0.51689985
76	0.5167883301
77	0.5167101179
78	0.5166043527
79	0.5164968436
80	0.5164089094
81	0.5162232753
82	0.5159820557
83	0.5158333043
84	0.5157310268
85	0.5156335449
86	0.5155739485
87	0.5155002267
88	0.5154315622
89	0.5151991054
90	0.5151350621
91	0.5150796509
92	0.5149069214
93	0.5148371233
94	0.5147810582
95	0.5145836966
96	0.514261431
97	0.5141529192
98	0.5140608433
99	0.5139621408
100	0.5138677979
101	0.5138052804
102	0.5137026542
103	0.513631679
104	0.513460083
105	0.5133963449
106	0.5132943726
107	0.5132275391
108	0.5131559535
109	0.5130770438
110	0.5130250767
111	0.5129340472
112	0.5128864833
113	0.5128442383
114	0.5128005545
115	0.5127557373
116	0.5127131871
117	0.5125857108
118	0.5123258318
119	0.5122253854
120	0.5121316964
121	0.5120453753
122	0.5119903564
123	0.5118191092
124	0.5117608207
125	0.5117095511
126	0.5116292463
127	0.5114648438
128	0.511292463
129	0.5112608119
130	0.5112136841
131	0.5111439732
132	0.5110744803
133	0.5110042899
134	0.5109328788
135	0.5109008353
136	0.5105814907
137	0.5105088152
138	0.51046378
139	0.5104296003
140	0.5103607178
141	0.5102201625
142	0.510130528
143	0.5100508336
144	0.5099888829
145	0.5098761858
146	0.5098567418
147	0.509820949
148	0.5097354562
149	0.5095686558
150	0.5095423235
151	0.5094991193
152	0.5094568307
153	0.5094157628
154	0.5093995013
155	0.5093275234
156	0.5092718942
157	0.5090283203
158	0.5089826311
159	0.5087567139
160	0.5085843331
161	0.5084429496
162	0.5084057617
163	0.5083785575
164	0.5082809448
165	0.5082451521
166	0.5082019043
167	0.5081604876
168	0.508062439
169	0.5080277361
170	0.5079929897
171	0.5078566197
172	0.5077655465
173	0.5075331334
174	0.5074808175
175	0.5074353463
176	0.5073479353
177	0.5072530692
178	0.5072062465
179	0.5071399798
180	0.5070254953
181	0.5069277518
182	0.5068702916
183	0.5067324829
184	0.5066973877
185	0.5065810721
186	0.506358817
187	0.5062135969
188	0.5060289655
189	0.5058166504
